Framework;Language;Task;CRF;Seed;Mini batches;Epochs;Patience;Total words;Total errors;Accuracy;OOV-words;OOV-Errors;OOV accuracy;Training time;Evaluation time;Epochs Run;ADJ, ADJ;ADJ, ADP;ADJ, ADV;ADJ, AUX;ADJ, CCONJ;ADJ, DET;ADJ, INTJ;ADJ, NOUN;ADJ, NUM;ADJ, PART;ADJ, PRON;ADJ, PROPN;ADJ, PUNCT;ADJ, SCONJ;ADJ, SYM;ADJ, VERB;ADJ, X;ADP, ADJ;ADP, ADP;ADP, ADV;ADP, AUX;ADP, CCONJ;ADP, DET;ADP, INTJ;ADP, NOUN;ADP, NUM;ADP, PART;ADP, PRON;ADP, PROPN;ADP, PUNCT;ADP, SCONJ;ADP, SYM;ADP, VERB;ADP, X;ADV, ADJ;ADV, ADP;ADV, ADV;ADV, AUX;ADV, CCONJ;ADV, DET;ADV, INTJ;ADV, NOUN;ADV, NUM;ADV, PART;ADV, PRON;ADV, PROPN;ADV, PUNCT;ADV, SCONJ;ADV, SYM;ADV, VERB;ADV, X;AUX, ADJ;AUX, ADP;AUX, ADV;AUX, AUX;AUX, CCONJ;AUX, DET;AUX, INTJ;AUX, NOUN;AUX, NUM;AUX, PART;AUX, PRON;AUX, PROPN;AUX, PUNCT;AUX, SCONJ;AUX, SYM;AUX, VERB;AUX, X;CCONJ, ADJ;CCONJ, ADP;CCONJ, ADV;CCONJ, AUX;CCONJ, CCONJ;CCONJ, DET;CCONJ, INTJ;CCONJ, NOUN;CCONJ, NUM;CCONJ, PART;CCONJ, PRON;CCONJ, PROPN;CCONJ, PUNCT;CCONJ, SCONJ;CCONJ, SYM;CCONJ, VERB;CCONJ, X;DET, ADJ;DET, ADP;DET, ADV;DET, AUX;DET, CCONJ;DET, DET;DET, INTJ;DET, NOUN;DET, NUM;DET, PART;DET, PRON;DET, PROPN;DET, PUNCT;DET, SCONJ;DET, SYM;DET, VERB;DET, X;INTJ, ADJ;INTJ, ADP;INTJ, ADV;INTJ, AUX;INTJ, CCONJ;INTJ, DET;INTJ, INTJ;INTJ, NOUN;INTJ, NUM;INTJ, PART;INTJ, PRON;INTJ, PROPN;INTJ, PUNCT;INTJ, SCONJ;INTJ, SYM;INTJ, VERB;INTJ, X;NOUN, ADJ;NOUN, ADP;NOUN, ADV;NOUN, AUX;NOUN, CCONJ;NOUN, DET;NOUN, INTJ;NOUN, NOUN;NOUN, NUM;NOUN, PART;NOUN, PRON;NOUN, PROPN;NOUN, PUNCT;NOUN, SCONJ;NOUN, SYM;NOUN, VERB;NOUN, X;NUM, ADJ;NUM, ADP;NUM, ADV;NUM, AUX;NUM, CCONJ;NUM, DET;NUM, INTJ;NUM, NOUN;NUM, NUM;NUM, PART;NUM, PRON;NUM, PROPN;NUM, PUNCT;NUM, SCONJ;NUM, SYM;NUM, VERB;NUM, X;PART, ADJ;PART, ADP;PART, ADV;PART, AUX;PART, CCONJ;PART, DET;PART, INTJ;PART, NOUN;PART, NUM;PART, PART;PART, PRON;PART, PROPN;PART, PUNCT;PART, SCONJ;PART, SYM;PART, VERB;PART, X;PRON, ADJ;PRON, ADP;PRON, ADV;PRON, AUX;PRON, CCONJ;PRON, DET;PRON, INTJ;PRON, NOUN;PRON, NUM;PRON, PART;PRON, PRON;PRON, PROPN;PRON, PUNCT;PRON, SCONJ;PRON, SYM;PRON, VERB;PRON, X;PROPN, ADJ;PROPN, ADP;PROPN, ADV;PROPN, AUX;PROPN, CCONJ;PROPN, DET;PROPN, INTJ;PROPN, NOUN;PROPN, NUM;PROPN, PART;PROPN, PRON;PROPN, PROPN;PROPN, PUNCT;PROPN, SCONJ;PROPN, SYM;PROPN, VERB;PROPN, X;PUNCT, ADJ;PUNCT, ADP;PUNCT, ADV;PUNCT, AUX;PUNCT, CCONJ;PUNCT, DET;PUNCT, INTJ;PUNCT, NOUN;PUNCT, NUM;PUNCT, PART;PUNCT, PRON;PUNCT, PROPN;PUNCT, PUNCT;PUNCT, SCONJ;PUNCT, SYM;PUNCT, VERB;PUNCT, X;SCONJ, ADJ;SCONJ, ADP;SCONJ, ADV;SCONJ, AUX;SCONJ, CCONJ;SCONJ, DET;SCONJ, INTJ;SCONJ, NOUN;SCONJ, NUM;SCONJ, PART;SCONJ, PRON;SCONJ, PROPN;SCONJ, PUNCT;SCONJ, SCONJ;SCONJ, SYM;SCONJ, VERB;SCONJ, X;SYM, ADJ;SYM, ADP;SYM, ADV;SYM, AUX;SYM, CCONJ;SYM, DET;SYM, INTJ;SYM, NOUN;SYM, NUM;SYM, PART;SYM, PRON;SYM, PROPN;SYM, PUNCT;SYM, SCONJ;SYM, SYM;SYM, VERB;SYM, X;VERB, ADJ;VERB, ADP;VERB, ADV;VERB, AUX;VERB, CCONJ;VERB, DET;VERB, INTJ;VERB, NOUN;VERB, NUM;VERB, PART;VERB, PRON;VERB, PROPN;VERB, PUNCT;VERB, SCONJ;VERB, SYM;VERB, VERB;VERB, X;X, ADJ;X, ADP;X, ADV;X, AUX;X, CCONJ;X, DET;X, INTJ;X, NOUN;X, NUM;X, PART;X, PRON;X, PROPN;X, PUNCT;X, SCONJ;X, SYM;X, VERB;X, X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;5123;32;5;None;7621;581;92,4%;490;212;56,7%;120,0874914;0,958435999;5;516;1;4;1;0;8;0;16;6;0;2;5;0;0;0;14;0;2;840;5;0;3;0;0;1;0;0;2;0;0;19;0;1;0;5;3;222;0;2;3;0;2;0;1;1;0;0;3;0;2;0;1;0;0;364;0;0;0;0;0;0;0;0;0;0;0;45;0;1;0;0;1;277;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;296;0;0;1;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2;4;0;0;1;1;1241;22;0;0;85;0;0;0;30;2;10;0;2;0;0;0;0;20;49;0;0;11;0;0;0;8;0;0;0;0;0;0;0;0;0;0;166;0;0;0;0;0;0;0;0;3;0;0;0;11;0;0;0;0;542;1;0;3;0;0;0;3;1;2;0;0;0;0;59;10;0;1;615;0;0;0;5;9;0;0;0;0;0;0;0;1;1;0;0;0;982;0;0;0;0;0;11;2;0;0;0;0;0;0;0;2;0;0;207;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;3;11;1;0;0;7;0;0;0;0;0;0;0;718;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;5123;32;50;3;7621;429;94,4%;490;179;63,5%;407,7717232;0,814055714;15;543;0;1;1;0;5;0;12;2;0;0;7;0;0;0;13;0;0;840;4;0;2;0;0;1;0;0;2;0;0;15;0;0;0;3;4;232;0;1;1;0;1;0;0;1;0;0;3;0;3;0;1;0;0;365;0;0;0;0;0;0;0;0;0;0;0;36;0;0;1;0;0;279;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;309;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;27;2;2;0;0;1;0;1255;15;0;0;60;0;0;0;17;1;8;0;1;0;0;0;0;16;65;0;0;8;0;0;0;6;1;0;0;0;0;0;0;0;0;0;167;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;546;1;0;1;0;0;0;7;0;2;0;0;0;0;54;6;0;2;642;0;0;0;6;4;0;0;0;0;0;0;0;0;1;0;0;0;982;0;0;0;0;0;13;2;0;0;0;0;0;0;0;2;0;0;213;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;11;1;0;0;6;0;0;0;0;0;0;0;742;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;322233;1;1;None;7904;538;93,2%;514;226;56,0%;367,8247022;5,249623058;1;554;1;1;1;0;5;0;13;7;0;2;8;0;0;0;19;2;1;860;5;0;3;0;0;1;0;0;1;0;0;15;0;0;0;2;1;245;0;1;1;0;1;0;0;1;0;0;2;0;5;0;1;0;0;369;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;286;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;319;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;38;3;1;0;1;1;0;1298;25;0;1;70;0;0;0;31;3;9;0;0;0;0;0;0;8;44;0;0;7;0;0;0;5;0;0;0;0;0;0;0;0;0;0;169;0;0;0;0;0;0;0;0;3;0;0;0;4;0;0;0;0;569;1;0;5;0;0;0;7;1;2;0;0;0;0;57;17;0;3;656;0;0;0;5;5;0;0;1;0;0;0;0;0;0;0;0;0;1019;0;0;0;0;0;19;4;0;0;0;0;0;0;0;3;0;0;224;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;23;0;0;0;10;1;0;0;1;0;0;0;746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;322233;1;5;None;7904;494;93,8%;514;211;58,9%;1780,586126;3,40589354;5;573;0;0;1;0;4;0;22;4;0;0;20;0;0;0;13;0;0;866;5;0;2;0;0;1;0;0;2;2;0;14;0;0;0;1;1;247;0;0;1;0;1;0;0;1;0;0;3;0;3;0;2;0;0;380;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;288;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;0;314;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;19;2;1;0;0;1;0;1301;21;0;2;77;0;0;0;26;1;7;0;0;0;0;0;0;4;49;0;0;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;169;0;0;0;0;0;0;0;0;2;0;0;0;10;0;0;0;0;574;1;0;2;0;0;0;8;1;3;0;0;0;0;49;19;0;0;634;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;1019;0;0;0;0;0;15;3;0;0;0;0;0;0;0;3;0;0;226;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;0;12;1;0;0;8;1;0;0;2;0;0;0;758;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;322233;1;50;3;7904;544;93,1%;514;217;57,8%;2877,697463;1,451025385;12;577;0;0;1;0;5;0;17;4;0;1;27;0;0;0;22;0;0;870;5;0;2;0;0;1;0;0;4;0;0;26;0;0;0;1;0;245;0;0;0;0;0;0;0;1;0;0;3;0;2;0;1;1;0;388;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;1;0;288;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;322;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;22;2;1;0;0;0;0;1288;21;0;1;80;0;0;0;19;0;2;0;0;0;0;0;0;1;50;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;167;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;567;1;0;3;0;0;0;10;0;3;0;0;0;0;65;18;0;0;631;0;0;0;10;3;0;0;0;0;0;0;0;0;0;0;0;0;1019;0;0;0;0;0;11;2;0;0;0;0;0;0;0;0;0;0;214;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;1;4;1;0;0;14;1;0;0;1;0;0;0;719;0;0;1;0;0;0;0;0;2;0;2;1;0;0;0;0;4;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;322233;8;1;None;7841;683;91,3%;508;220;56,7%;59,56925812;1,705898254;1;517;1;5;1;0;8;0;24;9;0;2;6;0;0;0;16;0;0;853;6;0;2;0;0;4;0;0;2;0;0;16;0;0;0;9;7;228;0;2;3;0;2;0;3;1;0;0;4;0;4;0;0;0;0;376;0;0;0;0;0;0;0;0;0;0;0;57;0;1;0;0;1;283;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;305;0;0;13;0;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;3;6;0;0;1;1;1265;26;0;1;77;0;0;0;36;4;4;0;2;0;0;1;0;5;21;0;0;4;0;0;0;3;1;0;0;0;0;0;0;0;0;0;166;0;0;0;0;0;0;0;1;6;0;0;0;10;0;0;0;0;553;1;0;8;0;0;0;13;1;2;0;0;0;1;76;23;0;1;649;0;0;0;11;8;2;0;0;0;0;0;0;1;0;0;0;0;1011;0;0;1;3;0;10;3;0;1;0;0;0;0;0;0;0;0;214;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;3;12;2;0;0;4;0;0;0;0;0;0;0;717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;322233;8;5;None;7841;458;94,2%;508;200;60,6%;285,8813486;1,485985903;5;562;0;2;1;0;4;0;10;1;0;0;7;0;0;0;17;0;0;859;5;0;2;0;0;1;0;0;3;0;0;17;0;0;0;3;2;241;0;1;1;0;1;0;0;1;0;0;2;0;3;0;1;0;0;376;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;286;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;316;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;29;4;2;0;0;1;0;1309;25;0;0;84;0;0;0;22;1;10;0;0;0;0;0;0;14;62;0;0;10;0;0;0;5;1;0;0;0;0;0;0;0;0;0;169;0;0;0;0;0;0;0;0;2;0;0;0;6;0;1;0;0;565;1;0;1;0;0;0;4;0;2;0;0;0;0;36;4;0;3;634;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1011;0;0;0;0;0;13;2;0;0;0;0;0;0;0;1;0;0;222;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;1;13;1;0;0;7;0;0;0;0;0;0;0;757;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;322233;8;50;3;7841;413;94,7%;508;175;65,6%;666,0662049;1,136453243;14;568;1;0;1;0;4;0;16;1;0;0;9;0;0;0;16;0;0;856;2;0;2;0;0;1;0;0;1;0;0;14;0;0;0;0;3;248;0;0;0;0;1;0;0;1;0;0;1;0;3;0;1;0;0;371;0;0;0;0;0;0;0;0;0;0;0;36;0;0;1;0;0;288;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;321;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;24;1;2;0;0;1;0;1306;15;0;0;69;0;0;0;23;1;7;0;0;0;0;0;0;9;72;0;0;9;0;0;0;2;1;0;0;0;0;0;0;0;0;0;169;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;570;1;0;1;0;0;0;8;0;2;0;0;0;0;39;4;0;0;649;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;1011;0;0;0;0;0;18;1;0;0;0;0;0;0;0;2;0;0;226;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;18;0;0;0;7;0;0;0;0;0;0;0;760;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;322233;32;1;None;7621;1191;84,4%;490;224;54,3%;16,02438693;0,638671272;1;411;2;27;0;2;37;0;27;19;0;15;20;0;0;0;10;0;3;833;11;0;0;2;0;5;0;0;5;1;2;38;0;3;0;18;1;133;0;6;4;0;0;0;2;2;0;0;1;0;2;0;1;0;0;360;3;0;0;0;0;0;0;0;0;0;0;74;0;0;2;1;1;253;0;0;0;0;1;2;0;0;5;0;0;0;16;0;1;0;0;249;0;5;13;0;34;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;2;17;0;4;4;1;1195;41;1;9;176;0;1;0;40;3;3;0;0;0;0;1;0;5;3;0;1;6;0;0;0;2;0;0;0;5;0;0;0;0;0;0;162;0;0;0;0;0;0;0;10;3;23;0;1;22;0;0;0;0;479;1;0;4;0;0;0;9;4;8;0;2;0;1;95;12;1;3;506;0;0;0;9;11;1;0;1;0;0;0;0;2;1;0;0;1;980;0;0;0;2;1;14;10;0;8;0;0;0;0;0;9;0;0;183;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;2;7;16;4;0;0;13;0;0;0;1;0;0;0;683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;322233;32;5;None;7621;575;92,5%;490;213;56,5%;120,9260687;0,912617325;5;522;0;3;1;0;7;0;15;6;0;1;5;0;0;0;15;0;1;839;5;0;1;1;0;2;0;0;2;0;0;14;0;0;0;2;3;220;0;2;4;0;1;0;2;1;0;0;3;0;2;0;0;0;0;361;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;1;278;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;299;0;0;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;3;3;0;0;0;2;1242;23;0;0;81;0;0;0;31;3;13;0;2;0;0;0;0;25;47;0;0;15;0;0;0;7;0;0;0;0;0;0;0;0;0;0;165;0;0;0;0;0;0;0;0;5;1;0;0;7;0;0;0;0;543;2;0;4;0;0;0;1;1;3;0;0;1;0;55;10;0;3;615;0;0;0;5;8;0;0;0;0;0;0;0;0;0;0;0;0;982;0;0;0;0;0;10;3;0;1;0;0;0;0;0;1;0;0;211;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;3;14;1;0;0;7;0;0;0;0;0;0;0;717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;322233;32;50;3;7621;433;94,3%;490;183;62,7%;372,973255;0,767280805;16;542;1;1;1;0;4;0;12;1;0;0;6;0;0;0;15;0;0;842;4;0;2;0;0;1;0;0;2;0;0;13;0;0;0;2;4;232;0;1;1;0;0;0;0;1;0;0;3;0;3;0;0;0;0;364;0;0;0;0;0;0;0;0;0;0;0;34;0;0;1;0;0;279;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;310;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;26;1;2;0;0;0;0;1249;13;0;1;55;0;0;0;15;1;11;0;1;0;0;0;0;21;67;0;0;14;0;0;0;5;1;0;0;0;0;0;0;0;0;0;167;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;542;1;0;1;0;0;0;6;0;2;0;0;1;0;53;8;0;2;641;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;982;0;0;0;0;0;10;2;0;0;0;0;0;0;0;3;0;0;215;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;12;1;0;0;7;0;0;0;0;0;0;0;743;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;1;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;421213;1;1;None;7904;589;92,5%;514;235;54,3%;350,1620886;5,460869099;1;534;0;1;1;0;4;0;11;8;0;0;15;0;0;0;15;0;0;864;7;0;0;0;0;1;0;0;2;0;0;27;0;0;1;4;1;239;0;0;1;0;0;0;0;1;0;0;7;0;2;0;1;0;0;383;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;288;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;313;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;42;5;4;0;0;1;0;1274;13;0;0;52;0;0;0;22;1;8;0;0;0;0;0;0;6;42;0;0;5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;169;0;0;0;0;0;0;0;0;5;0;0;0;11;0;0;0;0;576;1;0;4;0;0;0;12;1;3;0;0;0;0;83;31;0;1;667;0;0;0;8;9;0;0;0;0;0;0;0;1;0;0;0;0;1019;0;0;0;0;0;12;2;0;2;0;0;0;0;0;0;0;0;208;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1;0;9;1;0;0;12;0;0;0;3;0;0;0;732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;421213;1;5;None;7904;511;93,5%;514;212;58,8%;1683,524624;4,120129774;5;570;1;0;1;0;4;0;15;4;0;0;9;0;0;0;18;0;0;862;5;0;2;0;0;1;0;0;3;0;0;16;0;0;0;2;0;248;0;0;0;0;1;0;0;1;0;0;5;0;3;0;1;0;0;372;0;0;0;0;0;0;0;0;0;0;0;35;0;0;1;0;0;288;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;314;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;21;3;1;0;0;1;0;1295;22;0;1;79;0;0;0;32;1;7;0;0;0;0;0;0;3;50;0;0;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;169;0;0;0;0;0;0;0;0;2;0;0;0;11;0;0;0;0;569;1;0;1;0;0;0;9;0;3;0;0;0;0;61;18;0;0;648;0;0;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;1019;0;0;0;0;1;17;2;0;0;0;0;0;0;0;4;0;0;224;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;20;1;0;0;10;0;0;0;2;0;0;0;753;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;421213;1;50;3;7904;537;93,2%;514;210;59,1%;2664,065379;3,3385015;8;568;0;1;1;0;4;0;15;2;0;0;17;0;0;0;19;0;0;864;5;0;1;0;0;1;0;0;3;0;0;19;0;1;0;1;0;243;0;0;1;0;0;0;0;1;0;0;2;0;1;0;2;0;0;381;0;0;0;2;0;0;0;0;0;0;0;58;0;0;1;0;0;289;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;317;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;28;3;2;0;0;0;0;1284;17;0;2;82;0;0;0;25;0;1;0;0;0;0;0;0;4;64;0;0;5;0;0;0;2;1;0;0;0;0;0;0;0;0;0;168;0;0;0;0;0;0;0;0;6;0;0;0;7;0;0;0;0;569;1;0;1;0;0;0;10;1;3;0;0;1;0;66;11;0;1;634;0;0;0;9;7;0;0;0;0;0;0;0;0;0;0;0;0;1019;0;0;0;0;0;11;4;0;0;0;0;0;0;0;3;1;0;224;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;1;11;1;0;0;13;0;0;0;1;0;0;0;733;0;1;1;0;0;0;0;0;3;0;1;2;0;0;0;0;2;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pytorch;no;pos;TRUE;421213;8;1;None;7841;732;90,7%;508;215;57,7%;258,3794099;12,81552002;1;499;0;6;0;0;9;0;18;9;0;3;7;0;0;0;13;0;1;859;12;0;2;2;0;2;0;0;2;0;0;27;0;0;0;13;3;216;0;2;4;0;1;0;4;2;0;0;2;0;4;0;1;0;0;379;0;0;0;0;0;0;0;0;0;0;0;67;0;0;1;1;0;284;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;301;0;1;7;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;4;8;1;0;1;2;1282;37;0;2;107;0;0;0;41;4;3;0;1;0;0;0;0;7;23;0;0;5;0;0;0;2;1;0;0;0;0;0;0;0;0;0;165;0;0;0;0;0;0;0;1;4;0;0;0;10;0;0;0;0;552;1;0;3;0;0;0;7;1;3;0;0;1;0;65;16;0;1;617;0;0;0;6;9;0;0;0;0;0;0;0;1;0;0;0;0;1011;0;0;0;2;0;9;5;0;0;0;0;0;0;0;2;0;0;210;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;3;10;2;0;0;4;0;0;0;0;0;0;0;711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
