Framework;Language;Task;CRF;Seed;Batch size;Max epochs;Patience;Total values;Total errors;Accuracy;Total oov;Total oov errors;oov accuracy;Training time;Evaluation time;Epochs run;Num of backprops;testing tokens;testing dist tokens;testing avg tokens;training tokens;training dist tokens;training avg tokens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dynet;ar;pos;TRUE;5123;8;5;None;19059;885;95,4%;734;230;68,7%;24930,12788;93,20177868;5;2500;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;6;1;0;7;0;2;0;36;9;0;0;0;0;0;0;1295;21;32;5;0;1;6;20;0;106;17;3;6;0;0;0;0;31;635
dynet;ar;pos;TRUE;5123;8;50;3;19059;744;96,1%;734;208;71,7%;156313,8953;91,69439172;23;11500;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;7;1;1;11;1;0;0;34;3;0;0;0;0;0;0;1308;11;36;1;0;1;5;20;0;122;13;4;6;0;0;0;0;34;620
dynet;ar;pos;TRUE;5123;32;1;None;19059;4272;77,6%;734;487;33,7%;20947,60434;91,20300979;1;125;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;123;16;0;0;55;33;0;99;5;7;18;0;5;0;0;1003;13;221;7;0;0;19;3;0;350;16;2;3;0;12;0;0;36;193
dynet;ar;pos;TRUE;5123;32;5;None;19059;1424;92,5%;734;294;59,9%;110421,9232;97,84690095;5;625;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;9;1;1;2;0;0;0;63;14;2;1;0;0;0;0;1267;17;35;8;2;0;8;20;0;352;34;5;4;0;1;0;0;28;365
dynet;ar;pos;TRUE;5123;32;50;3;19059;815;95,7%;734;215;70,7%;529474,3031;99,29530478;23;2875;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;7;1;1;8;1;0;0;41;3;0;0;0;0;0;0;1305;10;31;1;0;1;6;22;0;147;15;5;6;0;0;0;0;35;593
dynet;ar;pos;TRUE;322233;1;1;None;19059;1167;93,9%;734;300;59,1%;451,3935798;18,00758935;1;4000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;12;0;0;15;1;0;0;0;0;0;36;13;0;0;0;0;0;0;1288;24;39;6;0;0;8;21;0;190;43;9;4;0;1;0;0;30;511
dynet;ar;pos;TRUE;322233;1;5;None;19059;821;95,7%;734;232;68,4%;2579,764363;13,63319157;5;20000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;6;1;2;2;0;1;0;42;2;0;0;0;0;0;0;1311;10;21;1;0;0;6;21;0;138;10;4;6;0;0;0;0;38;617
dynet;ar;pos;TRUE;322233;1;50;3;19059;755;96,0%;734;218;70,3%;8088,533986;12,99564065;14;56000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;8;0;0;18;0;4;0;24;3;0;0;0;0;0;0;1304;16;32;1;0;1;5;19;0;115;11;4;6;0;0;0;0;26;642
dynet;ar;pos;TRUE;322233;8;1;None;19059;1634;91,4%;734;337;54,1%;3505,057635;25,84034867;1;500;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;12;1;0;0;0;0;0;41;15;5;5;0;0;0;0;1277;21;51;7;1;0;11;16;0;258;35;5;6;0;3;0;0;29;440
dynet;ar;pos;TRUE;322233;8;5;None;19059;949;95,0%;734;247;66,3%;16032,27891;24,97966317;5;2500;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;5;1;0;1;0;5;0;45;4;0;0;0;0;0;0;1301;15;28;6;0;1;7;24;0;145;12;3;7;0;0;0;0;30;599
dynet;ar;pos;TRUE;322233;32;1;None;19059;4015;78,9%;734;501;31,7%;23231,72511;89,07107752;1;125;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;108;39;0;0;51;8;0;151;1;6;36;0;15;0;0;928;34;102;9;0;0;18;1;0;385;0;1;4;0;38;0;0;32;272
dynet;ar;pos;TRUE;421213;1;1;None;19059;1151;94,0%;734;283;61,4%;915,6034164;55,73087879;1;4000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;4;0;0;18;0;0;0;0;0;0;42;6;1;0;0;0;0;0;1301;9;67;7;1;1;6;24;0;230;21;10;4;0;0;0;0;30;461
dynet;ar;pos;TRUE;421213;1;5;None;19059;782;95,9%;734;214;70,8%;8355,174556;84,83890175;5;20000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;6;1;0;10;0;3;0;49;3;0;0;0;0;0;0;1287;18;34;1;0;1;6;20;0;134;10;4;6;0;0;0;0;33;613
dynet;ar;pos;TRUE;421213;1;50;3;19059;778;95,9%;734;220;70,0%;11307,7016;25,24092503;10;40000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;5;1;0;5;0;5;0;39;3;0;0;0;0;0;0;1304;15;26;1;0;1;3;21;0;118;14;4;6;0;0;0;0;35;633
dynet;ar;pos;TRUE;421213;8;1;None;19059;1797;90,6%;734;348;52,6%;5284,309426;31,41414001;1;500;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;6;1;0;0;0;0;0;44;18;12;0;0;0;0;0;1291;5;50;8;0;0;10;16;0;365;68;13;3;0;2;0;0;36;291
dynet;ar;pos;TRUE;421213;8;5;None;19059;957;95,0%;734;247;66,3%;23212,33271;46,74601306;5;2500;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;6;1;0;3;2;3;0;59;3;1;0;0;0;0;0;1286;13;33;2;0;1;10;21;0;159;16;6;6;0;0;0;0;35;573
dynet;ar;pos;TRUE;421213;8;50;3;19059;757;96,0%;734;214;70,8%;117973,7822;106,8568542;18;9000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;6;1;1;16;0;4;0;30;3;0;0;0;0;0;0;1304;12;30;1;0;2;3;22;0;132;15;4;6;0;0;0;0;28;619
dynet;ar;pos;TRUE;421213;32;1;None;19059;4200;78,0%;734;464;36,8%;25333,22795;100,8237337;1;125;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;71;24;0;0;91;3;0;74;5;18;57;0;5;0;0;998;31;118;10;0;0;28;1;0;293;25;3;8;0;15;0;0;42;319
dynet;ar;pos;TRUE;421213;32;5;None;19059;1425;92,5%;734;293;60,1%;108957,511;96,54353362;5;625;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;6;1;0;0;0;0;0;84;3;1;1;0;0;0;0;1271;10;39;8;3;0;10;17;0;355;16;6;5;0;1;0;0;30;372
dynet;ar;pos;TRUE;421213;32;50;3;19059;840;95,6%;734;218;70,3%;415415,789;104,0280224;18;2250;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;8;1;2;12;1;2;0;27;4;0;0;0;0;0;0;1309;11;43;1;0;1;4;21;0;132;13;6;7;0;0;0;0;38;596
dynet;ar;pos;TRUE;521403;1;1;None;19059;1140;94,0%;734;279;62,0%;1725,056736;89,04092755;1;4000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;13;0;0;6;0;0;0;0;0;0;38;4;1;0;0;0;0;0;1314;14;42;5;0;0;6;19;0;177;20;11;4;0;0;0;0;37;541
dynet;ar;pos;TRUE;521403;1;5;None;19059;803;95,8%;734;226;69,2%;8366,953079;96,98591179;5;20000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;2;0;1;3;0;8;0;28;2;0;0;0;0;0;0;1318;15;28;1;0;2;5;25;0;97;16;4;6;0;0;0;0;40;638
dynet;ar;pos;TRUE;521403;1;50;3;19059;763;96,0%;734;215;70,7%;28193,71885;98,05804682;15;60000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;5;0;0;10;0;3;0;25;2;0;0;0;0;0;0;1318;14;26;2;0;1;3;20;0;136;13;4;6;0;0;0;0;37;614
dynet;ar;pos;TRUE;521403;8;1;None;19059;1734;90,9%;734;368;49,9%;5378,244649;73,03922457;1;500;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;1;3;1;0;0;0;0;0;42;5;2;1;0;0;0;0;1286;37;27;8;0;0;10;14;0;186;17;7;1;0;0;0;0;31;561
dynet;ar;pos;TRUE;521403;8;5;None;19059;939;95,1%;734;241;67,2%;27539,10787;59,97433959;5;2500;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;5;1;1;2;0;1;0;51;2;1;0;0;0;0;0;1303;10;38;1;0;2;6;24;0;157;15;5;7;0;0;0;0;35;572
dynet;ar;pos;TRUE;521403;8;50;3;19059;780;95,9%;734;208;71,7%;75548,94131;81,36266479;13;6500;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;6;0;2;12;1;6;0;40;5;0;0;0;0;0;0;1295;10;31;1;0;2;6;23;0;147;14;4;6;0;0;0;0;28;600
dynet;ar;pos;TRUE;521403;32;1;None;19059;4102;78,5%;734;498;32,2%;23396,98643;76,86556622;1;125;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;133;19;0;0;67;1;0;213;0;5;9;0;4;0;0;913;13;125;10;0;0;22;0;0;457;9;0;0;0;2;0;0;28;209
dynet;ar;pos;TRUE;521403;32;5;None;19059;1298;93,2%;734;275;62,5%;109032,4983;73,93448276;5;625;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;0;0;0;0;2;1;0;0;0;0;0;42;4;5;1;0;0;0;0;1300;22;18;4;0;0;8;17;0;265;15;15;4;0;0;0;0;32;484
dynet;ar;pos;TRUE;613321;1;1;None;19059;1185;93,8%;734;288;60,8%;1222,761872;82,06053621;1;4000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;8;1;0;0;0;1;0;44;6;1;0;0;0;0;0;1306;10;41;7;0;0;6;21;0;204;18;9;6;0;1;0;0;38;511
dynet;ar;pos;TRUE;613321;1;5;None;19059;811;95,7%;734;225;69,3%;7391,606139;96,87707504;5;20000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;8;1;0;21;2;1;0;25;2;0;0;0;0;0;0;1309;8;40;1;0;2;5;22;0;101;10;4;6;0;0;0;0;39;632
dynet;ar;pos;TRUE;613321;1;50;3;19059;744;96,1%;734;208;71,7%;36238,80042;95,56859217;19;76000;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;14;0;0;4;1;1;20;0;4;0;31;1;0;0;0;0;0;0;1297;18;28;1;0;1;3;18;0;125;10;3;6;0;0;0;0;28;639
dynet;ar;pos;TRUE;613321;8;1;None;19059;1729;90,9%;734;329;55,2%;5785,765411;47,14730542;1;500;19059;4703;38,118;150631;18508;37,65775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;10;2;0;0;1;0;0;57;12;5;6;0;0;0;0;1271;13;35;9;0;0;14;15;0;318;39;6;4;0;2;0;0;35;385
